id;line_name;line_image;line_icon
1;ability Hat Iraq;magenta Concrete;User-centric Gloves
2;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance
3;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar
4;Berkshire Designer;Credit Card Account;navigate
5;Re-contextualized;web-enabled invoice withdrawal;bypassing optical
6;installation;Argentine Peso;Kentucky Algerian Dinar Clothing
7;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking
8;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented
9;Agent;Human deposit;even-keeled Saint Helena Pound
10;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools
